STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,FREQ,Fréquence d'observation,TIME_PERIOD,Période de temps,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unité de mesure,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie,BASE_PER,Période de base,METHODOLOGY,Méthode,DECIMALS,Decimals,PRICE_BASE,Ajustement,ADJUSTMENT,Base de prix
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2005-Q1,,2102690800000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2004-Q4,,2097301200000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2004-Q3,,2078776800000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2004-Q2,,2070899600000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2025-Q1,,2611158810595.15,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2024-Q4,,2605281089450.64,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2024-Q3,,2603641200000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2024-Q2,,2594242400000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2024-Q1,,2589100800000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2023-Q4,,2582662400000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2023-Q3,,2571045200000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2023-Q2,,2569194800000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2023-Q1,,2551792800000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
